Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/wishlist/wishlist/64842538-3683-4c77-88a6-57b278e18aba,1,0,308.7580130013521,308.7580130013521,308.7580130013521,308.7580130013521,150.0,0.0016689366266841976,0.0,310,310,310,310,310,310,310,310,310,310,310
PUT,/wishlist/wishlist/64842538-3683-4c77-88a6-57b278e18aba,1,0,188.48921799872187,188.48921799872187,188.48921799872187,188.48921799872187,113.0,0.0016689366266841976,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/wishlist/wishlist/649594f5-74d7-4db8-ad5d-f9e612799268,1,0,864.1613779982436,864.1613779982436,864.1613779982436,864.1613779982436,205.0,0.0016689366266841976,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/wishlist/wishlist/649594f5-74d7-4db8-ad5d-f9e612799268,1,0,1057.9530009999871,1057.9530009999871,1057.9530009999871,1057.9530009999871,150.0,0.0016689366266841976,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
PUT,/wishlist/wishlist/649594f5-74d7-4db8-ad5d-f9e612799268,1,1,1235.244944000442,1235.244944000442,1235.244944000442,1235.244944000442,27.0,0.0016689366266841976,0.0016689366266841976,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
DELETE,/wishlist/wishlist/64983fc2-ced0-4a2f-9ed5-b26f18d1d505,1,0,663.8135530010913,663.8135530010913,663.8135530010913,663.8135530010913,213.0,0.0016689366266841976,0.0,660,660,660,660,660,660,660,660,660,660,660
GET,/wishlist/wishlist/64983fc2-ced0-4a2f-9ed5-b26f18d1d505,1,0,16781.76859499945,16781.76859499945,16781.76859499945,16781.76859499945,150.0,0.0016689366266841976,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
PUT,/wishlist/wishlist/64983fc2-ced0-4a2f-9ed5-b26f18d1d505,1,0,536.5334179987258,536.5334179987258,536.5334179987258,536.5334179987258,113.0,0.0016689366266841976,0.0,540,540,540,540,540,540,540,540,540,540,540
DELETE,/wishlist/wishlist/64bcd80e-0456-4f97-b089-c5694a0b64d9,1,0,31.12297899861005,31.12297899861005,31.12297899861005,31.12297899861005,213.0,0.0016689366266841976,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/wishlist/wishlist/64bcd80e-0456-4f97-b089-c5694a0b64d9,1,0,148.5370390000753,148.5370390000753,148.5370390000753,148.5370390000753,150.0,0.0016689366266841976,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/wishlist/wishlist/64bcd80e-0456-4f97-b089-c5694a0b64d9,1,0,42.14102599871694,42.14102599871694,42.14102599871694,42.14102599871694,113.0,0.0016689366266841976,0.0,42,42,42,42,42,42,42,42,42,42,42
DELETE,/wishlist/wishlist/64c71ad7-8f42-4c7c-95f6-4908371b434f,1,0,42.02133399667218,42.02133399667218,42.02133399667218,42.02133399667218,213.0,0.0016689366266841976,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/wishlist/wishlist/64c71ad7-8f42-4c7c-95f6-4908371b434f,1,0,222.45009700054652,222.45009700054652,222.45009700054652,222.45009700054652,150.0,0.0016689366266841976,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/wishlist/wishlist/64c71ad7-8f42-4c7c-95f6-4908371b434f,1,0,98.53579099944909,98.53579099944909,98.53579099944909,98.53579099944909,113.0,0.0016689366266841976,0.0,99,99,99,99,99,99,99,99,99,99,99
DELETE,/wishlist/wishlist/64cbe485-c737-4c4b-b4b0-f5d3d175dfd1,1,1,698.4428229989135,698.4428229989135,698.4428229989135,698.4428229989135,27.0,0.0016689366266841976,0.0016689366266841976,700,700,700,700,700,700,700,700,700,700,700
