Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/wishlist/ed44b8e6-ee0c-44fa-8e73-da82f6dbb62a,1,0,70.14533699839376,70.14533699839376,70.14533699839376,70.14533699839376,113.0,0.0017447199799003857,0.0,70,70,70,70,70,70,70,70,70,70,70
DELETE,/wishlist/ed9a3a31-d52e-43bd-8529-a02ecf73d25a,1,0,32.87210700364085,32.87210700364085,32.87210700364085,32.87210700364085,213.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/wishlist/ed9a3a31-d52e-43bd-8529-a02ecf73d25a,1,0,34.5457110015559,34.5457110015559,34.5457110015559,34.5457110015559,150.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/ed9a3a31-d52e-43bd-8529-a02ecf73d25a,1,0,72.53276299888967,72.53276299888967,72.53276299888967,72.53276299888967,113.0,0.0017447199799003857,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,/wishlist/ed9d9b91-575a-4412-87a0-ce26a4ffec1b,1,0,165.66220400272869,165.66220400272869,165.66220400272869,165.66220400272869,213.0,0.0017447199799003857,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/wishlist/ed9d9b91-575a-4412-87a0-ce26a4ffec1b,1,0,162.3642420017859,162.3642420017859,162.3642420017859,162.3642420017859,150.0,0.0017447199799003857,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/wishlist/ed9d9b91-575a-4412-87a0-ce26a4ffec1b,1,0,37.28720100480132,37.28720100480132,37.28720100480132,37.28720100480132,113.0,0.0017447199799003857,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/wishlist/edd14d44-54cd-4896-be0e-abe3ad928130,1,0,50.41529500158504,50.41529500158504,50.41529500158504,50.41529500158504,213.0,0.0017447199799003857,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/wishlist/edd14d44-54cd-4896-be0e-abe3ad928130,1,0,584.6017049989314,584.6017049989314,584.6017049989314,584.6017049989314,150.0,0.0017447199799003857,0.0,580,580,580,580,580,580,580,580,580,580,580
PUT,/wishlist/edd14d44-54cd-4896-be0e-abe3ad928130,1,0,38.38292500586249,38.38292500586249,38.38292500586249,38.38292500586249,113.0,0.0017447199799003857,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/wishlist/edd90e28-b2c9-45c9-8e48-478893844a20,1,0,50.175974996818695,50.175974996818695,50.175974996818695,50.175974996818695,213.0,0.0017447199799003857,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/wishlist/edd90e28-b2c9-45c9-8e48-478893844a20,1,0,34.02188899781322,34.02188899781322,34.02188899781322,34.02188899781322,150.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/wishlist/edd90e28-b2c9-45c9-8e48-478893844a20,1,0,355.2237550029531,355.2237550029531,355.2237550029531,355.2237550029531,113.0,0.0017447199799003857,0.0,360,360,360,360,360,360,360,360,360,360,360
DELETE,/wishlist/ee0df520-d3ed-4404-8efd-850bd15fab46,1,0,34.606044995598495,34.606044995598495,34.606044995598495,34.606044995598495,213.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/ee0df520-d3ed-4404-8efd-850bd15fab46,1,0,95.42103500280064,95.42103500280064,95.42103500280064,95.42103500280064,150.0,0.0017447199799003857,0.0,95,95,95,95,95,95,95,95,95,95,95
PUT,/wishlist/ee0df520-d3ed-4404-8efd-850bd15fab46,1,0,32.76923900557449,32.76923900557449,32.76923900557449,32.76923900557449,113.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,/wishlist/ee14d3ce-35f7-4e0f-bccd-c9de5db483f7,1,0,34.81129900319502,34.81129900319502,34.81129900319502,34.81129900319502,213.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/ee14d3ce-35f7-4e0f-bccd-c9de5db483f7,1,0,35.08303299895488,35.08303299895488,35.08303299895488,35.08303299895488,150.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/ee14d3ce-35f7-4e0f-bccd-c9de5db483f7,1,0,36.48092900402844,36.48092900402844,36.48092900402844,36.48092900402844,113.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/wishlist/ee2acf48-0671-489d-b4f1-aa16efd8a40f,1,0,1560.7220869933371,1560.7220869933371,1560.7220869933371,1560.7220869933371,205.0,0.0017447199799003857,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/wishlist/ee2acf48-0671-489d-b4f1-aa16efd8a40f,1,0,94.68491100415122,94.68491100415122,94.68491100415122,94.68491100415122,150.0,0.0017447199799003857,0.0,95,95,95,95,95,95,95,95,95,95,95
PUT,/wishlist/ee2acf48-0671-489d-b4f1-aa16efd8a40f,1,1,5989.8702159989625,5989.8702159989625,5989.8702159989625,5989.8702159989625,27.0,0.0017447199799003857,0.0017447199799003857,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
DELETE,/wishlist/ee55922e-d8ac-48d6-9f5f-554d8fccc86c,1,0,31.92332499747863,31.92332499747863,31.92332499747863,31.92332499747863,213.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/wishlist/ee55922e-d8ac-48d6-9f5f-554d8fccc86c,1,0,100.99859399633715,100.99859399633715,100.99859399633715,100.99859399633715,150.0,0.0017447199799003857,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/wishlist/ee55922e-d8ac-48d6-9f5f-554d8fccc86c,1,0,55.02002099819947,55.02002099819947,55.02002099819947,55.02002099819947,113.0,0.0017447199799003857,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/wishlist/eea067a6-8a66-4d56-ada5-14641694efc5,1,0,35.408215000643395,35.408215000643395,35.408215000643395,35.408215000643395,213.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/eea067a6-8a66-4d56-ada5-14641694efc5,1,0,257.0437699978356,257.0437699978356,257.0437699978356,257.0437699978356,150.0,0.0017447199799003857,0.0,260,260,260,260,260,260,260,260,260,260,260
PUT,/wishlist/eea067a6-8a66-4d56-ada5-14641694efc5,1,0,43.22849099844461,43.22849099844461,43.22849099844461,43.22849099844461,113.0,0.0017447199799003857,0.0,43,43,43,43,43,43,43,43,43,43,43
